#Gene	Genome Location	Chr Band	Role in Cancer	Tumour Type(Somatic)	Tumor Type(Germline)	Mutated Tumor Samples(Bert Vogelstein 25)	Cancer Type(SMG127)	Putative Driver Category(Comprehensive 435)
AARS	.	.	.	.	.	.	.	Candidate driver
AARS2	.	.	.	.	.	.	.	High Confidence Driver
ABCB1	.	.	.	.	.	.	.	High Confidence Driver
ABI1	10:26748570-26860863	10p11.2	TSG	AML	.	.	.	.
ABL1	9:130835447-130885683	9q34.1	oncogene	CML; ALL; T-ALL	.	851	.	High Confidence Driver
ABL2	1:179107718-179143044	1q24-q25	oncogene	AML	.	.	.	.
ACKR3	2:-	2q37.3	oncogene	lipoma	.	.	.	.
ACSL3	2:222908773-222941654	2q36	.	prostate	.	.	.	.
ACSL6	5:131954234-132011553	5q31.1	.	AML; AEL	.	.	.	.
ACTB	.	.	.	.	.	.	.	Candidate driver
ACTG1	.	.	.	.	.	.	.	Candidate driver
ACVR1	2:157737531-157799493	2q23-q24	oncogene	DIPG	.	.	.	.
ACVR1B	.	.	TSG	.	.	17	COAD/READ	High Confidence Driver
ACVR2A	.	.	.	.	.	.	COAD/READ	Candidate driver
ADAM10	.	.	.	.	.	.	.	High Confidence Driver
ADCY1	.	.	.	.	.	.	.	High Confidence Driver
ADORA2A	.	.	.	.	.	.	.	High Confidence Driver
AFF1	4:87007409-87135702	4q21	oncogene	AL	.	.	.	.
AFF3	2:99551474-100104454	2q11.2-q12	oncogene	ALL; T-ALL	.	.	.	.
AFF4	5:132881059-132937189	5q31	oncogene	ALL	.	.	.	.
AHCTF1	.	.	.	.	.	.	.	Candidate driver
AHCYL2	.	.	.	.	.	.	.	Candidate driver
AHDC1	.	.	.	.	.	.	.	Candidate driver
AHNAK	.	.	.	.	.	.	.	Candidate driver
AHNAK2	.	.	.	.	.	.	.	High Confidence Driver
AJUBA	.	.	.	.	.	.	.	High Confidence Driver
AKAP9	7:91941100-92110159	7q21-q22	oncogene	papillary thyroid	.	.	.	High Confidence Driver
AKD1	.	.	.	.	.	.	.	High Confidence Driver
AKT1	14:104770341-104792643	14q32.32	oncogene	breast; colorectal; ovarian; NSCLC	.	155	BRCA	High Confidence Driver
AKT2	19:40233872-40265267	19q13.1-q13.2	oncogene	ovarian; pancreatic	.	.	.	.
ALDH2	12:111766983-111809575	12q24.2	TSG	leiomyoma	.	.	.	.
ALK	2:29193224-29920659	2p23	oncogene	ALCL; NSCLC; neuroblastoma; inflammatory myofibroblastic tumour; Spitzoid tumour	neuroblastoma	189	.	.
AMER1	X:64186117-64193286	Xq11.2	TSG	Wilms tumour	.	.	.	.
AMPH	.	.	.	.	.	.	.	High Confidence Driver
ANAPC1	.	.	.	.	.	.	.	High Confidence Driver
ANKRD11	.	.	.	.	.	.	.	Candidate driver
ANKRD12	.	.	.	.	.	.	.	High Confidence Driver
ANKRD6	.	.	.	.	.	.	.	Candidate driver
ANXA6	.	.	.	.	.	.	.	Candidate driver
APAF1	.	.	.	.	.	.	.	High Confidence Driver
APC	5:112754891-112844126	5q21	TSG	colorectal; pancreatic; desmoid; hepatoblastoma; glioma; other CNS	colorectal; pancreatic; desmoid; hepatoblastoma; glioma; other CNS	2561	.	High Confidence Driver
APOBEC3B	22:38982454-38992445	22q13.1	oncogene/TSG	.	breast cancer	.	.	.
AR	X:67545147-67723841	Xq12	oncogene	prostate	.	23	HNSC	High Confidence Driver
ARAF	.	.	.	.	.	.	.	Candidate driver
ARHGAP26	5:142770762-143222446	5q31	TSG	AML; MDS	.	.	.	.
ARHGAP32	.	.	.	.	.	.	.	High Confidence Driver
ARHGAP35	.	.	.	.	.	.	UCEC	High Confidence Driver
ARHGEF12	11:120337244-120485077	11q23.3	TSG	AML	.	.	.	.
ARHGEF6	.	.	.	.	.	.	.	High Confidence Driver
ARID1A	1:26696404-26780756	1p35.3	TSG	clear cell ovarian carcinoma; RCC; breast	.	234	KIRC	High Confidence Driver
ARID1B	6:156778104-157207891	6q25.1	TSG	breast; hepatocellular carcinoma	.	17	.	.
ARID2	12:45729837-45905078	12q12	TSG	hepatocellular carcinoma	.	45	.	High Confidence Driver
ARID5B	.	.	.	.	.	.	UCEC	High Confidence Driver
